id.num,usetype,variable,Energy Atlas 2016,Simulation 2018
64,res_total,kwh.per.m2,59.23793887533706,76.49567706157139
64,res_total,m2,449924.676753,52641.3205
64,res_total,usage,26652610.5,4026833.4530626773
65,commercial,kwh.per.m2,167.93544278936824,1032.1324903033449
65,commercial,m2,64617.845522999996,21097.8687
65,commercial,usage,10851626.5,21775795.761423994
65,res_total,kwh.per.m2,38.00554702778906,179.81529245004813
65,res_total,m2,489518.356002,410804.21804999997
65,res_total,usage,18604412.9,73868880.60837409
66,commercial,kwh.per.m2,153.40135722002395,341.696286328161
66,commercial,m2,446130.889845,114703.1891375653
66,commercial,usage,68437084,39193653.758302726
66,res_total,kwh.per.m2,51.54953636287945,76.21179026999467
66,res_total,m2,1354938.415126,1070936.0242767185
66,res_total,usage,69846447.1,81617951.67475918
67,res_total,kwh.per.m2,65.34134509337265,81.77430562364201
67,res_total,m2,236423.92084099998,22189.7224
67,res_total,usage,15448257,1814549.141241375
68,commercial,kwh.per.m2,164.22984107206713,209.17001413764456
68,commercial,m2,671378.486883,207407.81228333333
68,commercial,usage,110260382.2,43383495.02756276
68,institutional,kwh.per.m2,358.2096198450608,892.571377149397
68,institutional,m2,144994.548227,74012.45455
68,institutional,usage,51938442,66061398.48390065
68,res_total,kwh.per.m2,53.63583142490666,167.42454527456138
68,res_total,m2,2812786.133673,2278479.426482124
68,res_total,usage,150866122.9,381473381.896213
69,res_total,kwh.per.m2,46.20961979630269,151.9472285771655
69,res_total,m2,259334.172253,202201.18533333333
69,res_total,usage,11983733.5,30723909.726417806
70,industrial,kwh.per.m2,55.510469070296985,2530.2335533932387
70,industrial,m2,12642.426046,9056.7281
70,industrial,usage,701787,22915637.322579395
70,institutional,kwh.per.m2,183.46204305106866,402.30031431446355
70,institutional,m2,57269.682738,62580.134099999996
70,institutional,usage,10506813,25176007.618271276
70,res_total,kwh.per.m2,53.356334057040385,139.92422776712158
70,res_total,m2,2073120.875991,1502403.6307758298
70,res_total,usage,110614130,210222667.83082765
71,res_total,kwh.per.m2,64.99156727624711,82.71734688978565
71,res_total,m2,33616.207326,9876.198999999999
71,res_total,usage,2184770,816932.978635554
72,commercial,kwh.per.m2,195.69029486811502,291.57071132527597
72,commercial,m2,735155.37445,169747.89338416667
72,commercial,usage,143862772,49493514.01998858
72,res_total,kwh.per.m2,47.26242457403967,76.8978919338389
72,res_total,m2,3167966.28716,2681903.299078057
72,res_total,usage,149725767.7,206232710.0695105
73,res_total,kwh.per.m2,56.33894529254758,155.59810414065632
73,res_total,m2,902956.1227289999,783286.4733764607
73,res_total,usage,50871595.6,121877890.25639795
74,commercial,kwh.per.m2,111.83147839867559,434.1014108080652
74,commercial,m2,123483.137286,11815.6723
74,commercial,usage,13809301.8,5129200.015075777
74,industrial,kwh.per.m2,75.39092914982375,421.65847590464875
74,industrial,m2,7083.482138,27373.8211
74,industrial,usage,534030.3,11542403.684712516
74,res_total,kwh.per.m2,37.24657233836353,149.75637630666355
74,res_total,m2,686789.422329,593050.7350980953
74,res_total,usage,25580551.9,88813129.0542938
75,commercial,kwh.per.m2,156.82424568040992,254.31218896154303
75,commercial,m2,195882.166477,26683.2025
75,commercial,usage,30719073,6785863.636279117
75,res_total,kwh.per.m2,52.011554915934425,145.98754816378485
75,res_total,m2,542199.652473,450074.77339608886
75,res_total,usage,28200647,65705312.65846608
76,res_total,kwh.per.m2,48.734967649949624,146.4548008246308
76,res_total,m2,283347.64678999997,232660.75828838383
76,res_total,usage,13808938.4,34074285.014832824
77,res_total,kwh.per.m2,52.96401059628912,235.99014494787787
77,res_total,m2,475454.421153,375157.56834
77,res_total,usage,25181973,88533488.93085
79,commercial,kwh.per.m2,79.20050051488946,71.3354665347411
79,commercial,m2,110943.276152,2264.4375
79,commercial,usage,8786763,161534.7055012628
79,industrial,kwh.per.m2,141.27232032917703,572.6550399547591
79,industrial,m2,221048.567244,130202.819815
79,industrial,usage,31228044,74561300.98338112
79,res_total,kwh.per.m2,58.03925248934935,148.45161109596572
79,res_total,m2,493445.08710299997,378603.2069897078
79,res_total,usage,28639184,56204256.04372151
81,commercial,kwh.per.m2,124.08817386956892,606.4634997483414
81,commercial,m2,333482.564934,35189.683899999996
81,commercial,usage,41381242.5,21341258.853031863
81,institutional,kwh.per.m2,364.7988113833499,2615.9973712279175
81,institutional,m2,16175.248427,6170.2321999999995
81,institutional,usage,5900711.4,16141311.21506585
81,res_total,kwh.per.m2,45.28336532120199,89.615972473324
81,res_total,m2,1284006.881723,1029282.1472966907
81,res_total,usage,58144152.7,92240120.57942407
82,commercial,kwh.per.m2,219.81082344876427,586.0024163814339
82,commercial,m2,267800.32974,38053.3264
82,commercial,usage,58865411,22299341.22175141
82,res_total,kwh.per.m2,64.7885396626117,160.30347036038378
82,res_total,m2,1685849.239214,1294342.4125029992
82,res_total,usage,109223710.3,207487580.55886218
83,commercial,kwh.per.m2,410.1650018124065,74.51935520262575
83,commercial,m2,24176.798011,11153.2953
83,commercial,usage,9916476.4,831136.3741404763
83,res_total,kwh.per.m2,66.53956454106782,40.35251448375968
83,res_total,m2,1152573.384406,560800.7079832763
83,res_total,usage,76691731.1,22629718.69139784
84,commercial,kwh.per.m2,171.49152785112614,625.4759591721487
84,commercial,m2,159365.248782,20592.214
84,commercial,usage,27329790,12879934.80312815
84,institutional,kwh.per.m2,904.3152166692569,1736.079256676518
84,institutional,m2,13255.678749,11866.6744
84,institutional,usage,11987312,20601487.271574266
84,res_total,kwh.per.m2,52.287513318873636,237.24201875263913
84,res_total,m2,663146.166247,437345.6577305555
84,res_total,usage,34674264,103756766.73269774
85,commercial,kwh.per.m2,154.73400135532432,342.998942028478
85,commercial,m2,414601.376802,37460.8102
85,commercial,usage,64152930,12849018.266129617
85,res_total,kwh.per.m2,58.60624531246445,138.31157017619813
85,res_total,m2,2154696.120298,1512650.7991496113
85,res_total,usage,126278649.4,209217107.15866366
86,commercial,kwh.per.m2,203.50682258193564,855.6847747640097
86,commercial,m2,133255.139341,9204.0675
86,commercial,usage,27118330,7875780.425650242
86,res_total,kwh.per.m2,59.827029342388826,224.57788948093855
86,res_total,m2,729856.930554,410321.88899166667
86,res_total,usage,43665172,92149223.83758046
87,commercial,kwh.per.m2,448.13271290916055,98.27203580649412
87,commercial,m2,5346.381844,1639.685
87,commercial,usage,2395888.6,161135.1830313713
87,res_total,kwh.per.m2,72.98370105085617,54.74606016434917
87,res_total,m2,1268311.941806,667172.7634430283
87,res_total,usage,92566099.6,36525080.24746712
88,commercial,kwh.per.m2,164.03203489046638,592.8114593697684
88,commercial,m2,875791.750044,237557.42345
88,commercial,usage,143657902.9,140826762.87951654
88,res_total,kwh.per.m2,61.60490666196751,106.83714407398577
