idf.kw,epw.id,energy.elec.GJ,energy.gas.GJ,prototype.m2,elec.GJ.per.m2,gas.GJ.per.m2,building.type,vintage,idf.name
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,38,1196.8723164814776,1195.319226187416,511.15,2.34152854637871,2.338490122639961,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,39,1201.452951288549,1195.3171645109667,511.15,2.3504899761098486,2.3384860892320587,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,39,1201.452951288549,1195.3171645109667,511.15,2.3504899761098486,2.3384860892320587,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,40,1204.7385448536697,1195.3126754506302,511.15,2.356917822270703,2.3384773069561384,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,40,1204.7385448536697,1195.3126754506302,511.15,2.356917822270703,2.3384773069561384,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,41,1207.713901484564,1195.3102739971225,511.15,2.362738729305613,2.338472608817612,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,41,1207.713901484564,1195.3102739971225,511.15,2.362738729305613,2.338472608817612,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,48,1187.6941148702745,1195.3208920313978,511.15,2.3235725616165013,2.338493381651957,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,48,1187.6941148702745,1195.3208920313978,511.15,2.3235725616165013,2.338493381651957,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,49,1190.0812087214745,1195.3158440816612,511.15,2.3282426073001554,2.338483505979969,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,49,1190.0812087214745,1195.3158440816612,511.15,2.3282426073001554,2.338483505979969,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,50,1190.5246290258394,1195.3153576862524,511.15,2.329110102760128,2.3384825544091803,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,50,1190.5246290258394,1195.3153576862524,511.15,2.329110102760128,2.3384825544091803,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,51,1194.3246829554205,1195.3156383830008,511.15,2.3365444252282512,2.3384831035566873,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,51,1194.3246829554205,1195.3156383830008,511.15,2.3365444252282512,2.3384831035566873,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,52,1201.4410281216649,1195.3120271500118,511.15,2.350466649949457,2.3384760386383876,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,52,1201.4410281216649,1195.3120271500118,511.15,2.350466649949457,2.3384760386383876,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,53,1202.7939457632106,1195.3147427049505,511.15,2.353113461338571,2.3384813512764366,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,53,1202.7939457632106,1195.3147427049505,511.15,2.353113461338571,2.3384813512764366,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,54,1205.2608398768996,1195.3111836733312,511.15,2.357939626091949,2.338474388483481,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,54,1205.2608398768996,1195.3111836733312,511.15,2.357939626091949,2.338474388483481,small restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
FullServiceRestaurant-90_1-2004-ASHRAE 169-2013-3B,62,1191.4238609253907,1195.3188940586367,511.15,2.3308693356654424,2.3384894728722228,large restaurant,1981-2008 (2004),FullServiceRestaurant-90.1-2004-ASHRAE 169-2013-3B.idf
