id.num,usetype,data.source,m2,total.m2,ratio
64,res_total,Energy Atlas 2016,449924.676753,502565.99725300004,0.8952549102252544
65,commercial,Energy Atlas 2016,64617.845522999996,986038.2882749999,0.06553279552262019
65,res_total,Energy Atlas 2016,489518.356002,986038.2882749999,0.4964496428007635
66,commercial,Energy Atlas 2016,446130.889845,2986708.5183852836,0.14937208873874092
66,res_total,Energy Atlas 2016,1354938.415126,2986708.5183852836,0.4536560587634865
67,res_total,Energy Atlas 2016,236423.92084099998,258613.64324099998,0.9141974022641892
68,commercial,Energy Atlas 2016,671378.486883,6189058.862098457,0.10847828431467897
68,institutional,Energy Atlas 2016,144994.548227,6189058.862098457,0.023427560063282102
68,res_total,Energy Atlas 2016,2812786.133673,6189058.862098457,0.45447719860904656
69,res_total,Energy Atlas 2016,259334.172253,461535.3575863333,0.5618944854175983
70,industrial,Energy Atlas 2016,12642.426046,3717073.47775083,0.0034011773298734537
70,institutional,Energy Atlas 2016,57269.682738,3717073.47775083,0.015407196839340774
70,res_total,Energy Atlas 2016,2073120.875991,3717073.47775083,0.5577293234583645
71,res_total,Energy Atlas 2016,33616.207326,43492.406326000004,0.7729213020320755
72,commercial,Energy Atlas 2016,735155.37445,6754772.854072223,0.10883495127549696
72,res_total,Energy Atlas 2016,3167966.28716,6754772.854072223,0.468996716188634
73,res_total,Energy Atlas 2016,902956.1227289999,1686242.5961054605,0.5354841140974993
74,commercial,Energy Atlas 2016,123483.137286,1449596.2702510953,0.08518450262334806
74,industrial,Energy Atlas 2016,7083.482138,1449596.2702510953,0.00488652067018151
74,res_total,Energy Atlas 2016,686789.422329,1449596.2702510953,0.4737797940181207
75,commercial,Energy Atlas 2016,195882.166477,1214839.7948460889,0.16124115073281478
75,res_total,Energy Atlas 2016,542199.652473,1214839.7948460889,0.4463137071844874
76,res_total,Energy Atlas 2016,283347.64678999997,516008.4050783838,0.5491144020162971
77,res_total,Energy Atlas 2016,475454.421153,850611.989493,0.5589557013373283
79,commercial,Energy Atlas 2016,110943.276152,1336507.3948037077,0.08300984834303457
79,industrial,Energy Atlas 2016,221048.567244,1336507.3948037077,0.16539270048443339
79,res_total,Energy Atlas 2016,493445.08710299997,1336507.3948037077,0.36920490602707967
81,commercial,Energy Atlas 2016,333482.564934,2704306.758480691,0.12331536128000294
81,institutional,Energy Atlas 2016,16175.248427,2704306.758480691,0.005981292017362495
81,res_total,Energy Atlas 2016,1284006.881723,2704306.758480691,0.47480075168852853
82,commercial,Energy Atlas 2016,267800.32974,3286045.3078569993,0.08149623777240202
82,res_total,Energy Atlas 2016,1685849.239214,3286045.3078569993,0.5130328651230405
83,commercial,Energy Atlas 2016,24176.798011,1748704.1857002762,0.013825550489729225
83,res_total,Energy Atlas 2016,1152573.384406,1748704.1857002762,0.6591014042460515
84,commercial,Energy Atlas 2016,159365.248782,1305571.6399085554,0.1220654952287124
84,institutional,Energy Atlas 2016,13255.678749,1305571.6399085554,0.010153160764068414
